,6702_close
2016-01-04,597.913
2016-01-05,593.6118
2016-01-06,597.70294
2016-01-07,584.9198
2016-01-08,575.573
2016-01-12,582.70123
2016-01-13,566.66437
2016-01-14,585.87634
2016-01-15,562.136
2016-01-18,556.68097
2016-01-19,529.7344
2016-01-20,538.0236
2016-01-21,505.2156
2016-01-22,499.15146
2016-01-25,522.3709
2016-01-26,527.1256
2016-01-27,502.01736
2016-01-28,507.05463
2016-01-29,499.95163
2016-02-01,493.9697
2016-02-02,473.6021
2016-02-03,457.77948
2016-02-04,425.81247
2016-02-05,412.39554
2016-02-08,411.71954
2016-02-09,410.613
2016-02-10,375.97986
2016-02-12,356.9345
2016-02-15,338.71185
2016-02-16,384.9651
2016-02-17,390.60962
2016-02-18,390.0132
2016-02-19,412.8512
2016-02-22,408.12762
2016-02-23,410.23755
2016-02-24,413.37952
2016-02-25,398.5725
2016-02-26,409.2409
2016-02-29,410.8953
2016-03-01,408.41385
2016-03-02,404.1328
2016-03-03,414.5645
2016-03-04,420.39536
2016-03-07,424.93457
2016-03-08,409.53757
2016-03-09,411.98026
2016-03-10,396.063
2016-03-11,408.56256
2016-03-14,405.6385
2016-03-15,418.83905
2016-03-16,421.55743
2016-03-17,418.1397
2016-03-18,417.66296
2016-03-22,408.26254
2016-03-23,418.83978
2016-03-24,423.80682
2016-03-25,403.6552
2016-03-28,412.1305
2016-03-29,421.12854
2016-03-30,427.10132
2016-03-31,411.0579
2016-04-01,411.2539
2016-04-04,386.56787
2016-04-05,381.4981
2016-04-06,367.67355
2016-04-07,369.86804
2016-04-08,368.18622
2016-04-11,374.8215
2016-04-12,374.96893
2016-04-13,390.83502
2016-04-14,408.25558
2016-04-15,414.03073
2016-04-18,389.3473
2016-04-19,386.0238
2016-04-20,404.00504
2016-04-21,413.4716
2016-04-22,417.76755
2016-04-25,419.7364
2016-04-26,420.0591
2016-04-27,414.12503
2016-04-28,408.43518
2016-05-02,391.69662
2016-05-06,379.64084
2016-05-09,381.83258
2016-05-10,389.21844
2016-05-11,388.3297
2016-05-12,391.73337
2016-05-13,389.86975
2016-05-16,384.76093
2016-05-17,387.57755
2016-05-18,393.11053
2016-05-19,394.86075
2016-05-20,398.9228
2016-05-23,413.29932
2016-05-24,416.2578
2016-05-25,403.48074
2016-05-26,415.98447
2016-05-27,421.14313
2016-05-30,428.35223
2016-05-31,435.77438
2016-06-01,440.56512
2016-06-02,442.70096
2016-06-03,424.89777
2016-06-06,414.39288
2016-06-07,417.36658
2016-06-08,427.4068
2016-06-09,435.80243
2016-06-10,433.65424
2016-06-13,422.03714
2016-06-14,402.70636
2016-06-15,394.02625
2016-06-16,403.7193
2016-06-17,390.2616
2016-06-20,396.04626
2016-06-21,416.25568
2016-06-22,416.30823
2016-06-23,412.14392
2016-06-24,425.7388
2016-06-27,376.26428
2016-06-28,359.22772
2016-06-29,365.96283
2016-06-30,371.375
2016-07-01,373.0278
2016-07-04,375.51755
2016-07-05,384.0138
2016-07-06,379.6441
2016-07-07,344.3587
2016-07-08,348.22852
2016-07-11,349.98004
2016-07-12,370.8299
2016-07-13,383.44547
2016-07-14,389.8088
2016-07-15,393.85297
2016-07-19,393.80334
2016-07-20,403.63013
2016-07-21,406.21564
2016-07-22,404.99585
2016-07-25,396.66528
2016-07-26,400.60938
2016-07-27,400.52948
2016-07-28,406.54654
2016-07-29,405.46637
2016-08-01,424.28394
2016-08-02,433.67392
2016-08-03,417.74103
2016-08-04,410.3592
2016-08-05,422.72443
2016-08-08,430.43182
2016-08-09,443.70602
2016-08-10,445.693
2016-08-12,444.0574
2016-08-15,451.49725
2016-08-16,455.7268
2016-08-17,458.30737
2016-08-18,468.05307
2016-08-19,465.94968
2016-08-22,510.50436
2016-08-23,512.1187
2016-08-24,507.69147
2016-08-25,509.37793
2016-08-26,512.1269
2016-08-29,504.23566
2016-08-30,513.4493
2016-08-31,517.1134
2016-09-01,529.4857
2016-09-02,527.1898
2016-09-05,530.668
2016-09-06,536.6709
2016-09-07,539.16296
2016-09-08,526.3756
2016-09-09,529.8417
2016-09-12,530.23016
2016-09-13,530.32935
2016-09-14,529.5648
2016-09-15,525.0201
2016-09-16,523.386
2016-09-20,525.8707
2016-09-21,533.55804
2016-09-23,552.9055
2016-09-26,536.5148
2016-09-27,541.3853
2016-09-28,547.45776
2016-09-29,534.2353
2016-09-30,548.8831
2016-10-03,542.681
2016-10-04,546.64856
2016-10-05,556.56537
2016-10-06,545.569
2016-10-07,582.1558
2016-10-11,566.7263
2016-10-12,557.2766
2016-10-13,552.6468
2016-10-14,552.64246
2016-10-17,567.11035
2016-10-18,566.5562
2016-10-19,573.48376
2016-10-20,573.4751
2016-10-21,567.70465
2016-10-24,569.8567
2016-10-25,563.1116
2016-10-26,569.2883
2016-10-27,560.7283
2016-10-28,606.3955
2016-10-31,613.67896
2016-11-01,619.7479
2016-11-02,610.4736
2016-11-04,600.75073
2016-11-07,603.70245
2016-11-08,611.0291
2016-11-09,608.12146
2016-11-10,603.6501
2016-11-11,643.6619
2016-11-14,641.6174
2016-11-15,647.383
2016-11-16,653.73395
2016-11-17,664.3583
2016-11-18,656.35254
2016-11-21,658.8641
2016-11-22,653.3026
2016-11-24,658.70026
2016-11-25,667.1611
2016-11-28,656.5182
2016-11-29,653.3653
2016-11-30,662.8722
2016-12-01,676.6926
2016-12-02,694.12964
2016-12-05,680.4242
2016-12-06,673.0182
2016-12-07,687.19025
2016-12-08,681.5344
2016-12-09,721.3342
2016-12-12,712.48584
2016-12-13,699.1706
2016-12-14,701.9992
2016-12-15,720.4519
2016-12-16,702.474
2016-12-19,689.9493
2016-12-20,680.13934
2016-12-21,684.8823
2016-12-22,674.7422
2016-12-26,657.4083
2016-12-27,662.79645
2016-12-28,659.92896
2016-12-29,658.08514
2016-12-30,644.8854
2017-01-04,646.35345
2017-01-05,660.1555
2017-01-06,680.18066
2017-01-10,681.2147
2017-01-11,675.45465
2017-01-12,684.5549
2017-01-13,669.41986
2017-01-16,679.64075
2017-01-17,670.1277
2017-01-18,664.06055
2017-01-19,667.0793
2017-01-20,676.16345
2017-01-23,677.3235
2017-01-24,681.48645
2017-01-25,679.93695
2017-01-26,689.8759
2017-01-27,691.3805
2017-01-30,695.8313
2017-01-31,693.36566
2017-02-01,651.0209
2017-02-02,688.03625
2017-02-03,699.59454
2017-02-06,674.65717
2017-02-07,684.5725
2017-02-08,678.5787
2017-02-09,649.1514
2017-02-10,629.7141
2017-02-13,651.42975
2017-02-14,641.5464
2017-02-15,655.1
2017-02-16,658.8889
2017-02-17,660.31415
2017-02-20,646.0045
2017-02-21,660.6598
2017-02-22,655.4101
2017-02-23,662.7108
2017-02-24,654.2456
2017-02-27,659.47144
2017-02-28,653.84937
2017-03-01,652.5071
2017-03-02,653.7308
2017-03-03,661.0885
2017-03-06,654.35645
2017-03-07,658.79913
2017-03-08,656.3059
2017-03-09,649.0451
2017-03-10,647.5067
2017-03-13,666.6879
2017-03-14,670.4933
2017-03-15,677.88
2017-03-16,678.4778
2017-03-17,671.5282
2017-03-21,663.99304
2017-03-22,669.6135
2017-03-23,657.2964
2017-03-24,653.52576
2017-03-27,661.06757
2017-03-28,666.4579
2017-03-29,692.9237
2017-03-30,684.61475
2017-03-31,699.8263
2017-04-03,684.85583
2017-04-04,677.81445
2017-04-05,676.1232
2017-04-06,685.7178
2017-04-07,661.6382
2017-04-10,667.82416
2017-04-11,676.623
2017-04-12,678.5221
2017-04-13,666.49426
2017-04-14,654.09
2017-04-17,639.9307
2017-04-18,655.59735
2017-04-19,667.76483
2017-04-20,695.71277
2017-04-21,683.14453
2017-04-24,665.08264
2017-04-25,680.63806
2017-04-26,692.4757
2017-04-27,688.26685
2017-04-28,702.01447
2017-05-01,690.6138
2017-05-02,753.6411
2017-05-08,758.3849
2017-05-09,781.87463
2017-05-10,784.96936
2017-05-11,800.22565
2017-05-12,799.645
2017-05-15,787.14087
2017-05-16,779.0517
2017-05-17,802.6521
2017-05-18,803.0007
2017-05-19,782.15906
2017-05-22,789.6679
2017-05-23,790.5049
2017-05-24,771.5417
2017-05-25,810.1041
2017-05-26,812.3781
2017-05-29,794.0058
2017-05-30,808.283
2017-05-31,808.2347
2017-06-01,802.91406
2017-06-02,802.79895
2017-06-05,799.37537
2017-06-06,820.81323
2017-06-07,804.4037
2017-06-08,791.519
2017-06-09,787.0082
2017-06-12,798.8984
2017-06-13,775.7477
2017-06-14,790.7541
2017-06-15,787.2105
2017-06-16,782.1769
2017-06-19,788.1072
2017-06-20,793.15063
2017-06-21,797.4432
2017-06-22,802.64453
2017-06-23,825.871
2017-06-26,831.82324
2017-06-27,823.0847
2017-06-28,851.3942
2017-06-29,839.33026
2017-06-30,823.51917
2017-07-03,824.0134
2017-07-04,822.9829
2017-07-05,803.5227
2017-07-06,814.8823
2017-07-07,815.1902
2017-07-10,806.60913
2017-07-11,820.11096
2017-07-12,827.6708
2017-07-13,823.7828
2017-07-14,837.8313
2017-07-18,832.0853
2017-07-19,857.8983
2017-07-20,856.1052
2017-07-21,850.0696
2017-07-24,855.9471
2017-07-25,839.8247
2017-07-26,827.796
2017-07-27,832.884
2017-07-28,838.8516
