,6702_close
2017-01-04,654.4606
2017-01-05,667.9385
2017-01-06,686.8733
2017-01-10,680.2538
2017-01-11,675.91833
2017-01-12,687.44525
2017-01-13,666.40967
2017-01-16,682.0789
2017-01-17,669.61755
2017-01-18,669.45715
2017-01-19,669.46075
2017-01-20,680.61255
2017-01-23,682.50757
2017-01-24,682.2329
2017-01-25,683.3162
2017-01-26,687.55457
2017-01-27,694.4578
2017-01-30,687.51416
2017-01-31,687.22736
2017-02-01,660.4596
2017-02-02,685.5794
2017-02-03,673.3914
2017-02-06,681.3778
2017-02-07,687.01654
2017-02-08,681.8271
2017-02-09,657.70776
2017-02-10,632.18475
2017-02-13,634.61694
2017-02-14,648.48224
2017-02-15,655.22797
2017-02-16,660.1263
2017-02-17,664.15607
2017-02-20,659.53644
2017-02-21,663.1532
2017-02-22,664.9238
2017-02-23,664.66754
2017-02-24,659.5766
2017-02-27,659.1425
2017-02-28,657.69727
2017-03-01,655.5113
2017-03-02,661.8757
2017-03-03,660.4153
2017-03-06,661.1177
2017-03-07,657.30774
2017-03-08,662.6596
2017-03-09,657.3339
2017-03-10,661.42236
2017-03-13,668.8389
2017-03-14,673.8858
2017-03-15,679.2715
2017-03-16,680.22943
2017-03-17,674.8949
2017-03-21,673.9944
2017-03-22,679.004
2017-03-23,660.2546
2017-03-24,658.39276
2017-03-27,664.71387
2017-03-28,663.9592
2017-03-29,687.8766
2017-03-30,681.814
2017-03-31,692.5154
2017-04-03,681.69434
2017-04-04,676.6411
2017-04-05,677.66205
2017-04-06,684.167
2017-04-07,663.23566
2017-04-10,668.34033
2017-04-11,676.41974
2017-04-12,670.23083
2017-04-13,663.6812
2017-04-14,659.31396
2017-04-17,653.4852
2017-04-18,656.6876
2017-04-19,664.09204
2017-04-20,686.9992
2017-04-21,676.61957
2017-04-24,670.16473
2017-04-25,678.01587
2017-04-26,680.66907
2017-04-27,686.31506
2017-04-28,689.7692
2017-05-01,687.68713
2017-05-02,741.0645
2017-05-08,739.8313
2017-05-09,767.0599
2017-05-10,786.41077
2017-05-11,785.3481
2017-05-12,783.4063
2017-05-15,769.4839
2017-05-16,766.48413
2017-05-17,782.3528
2017-05-18,778.5781
2017-05-19,771.71606
2017-05-22,773.81323
2017-05-23,772.5737
2017-05-24,762.97815
2017-05-25,780.408
2017-05-26,783.22485
2017-05-29,784.2977
2017-05-30,783.4835
2017-05-31,784.55817
2017-06-01,780.64246
2017-06-02,778.6403
2017-06-05,788.1569
2017-06-06,812.5299
2017-06-07,784.7934
2017-06-08,768.2903
2017-06-09,762.0312
2017-06-12,770.97394
2017-06-13,759.8782
2017-06-14,773.7093
2017-06-15,767.54285
2017-06-16,767.9773
2017-06-19,763.4717
2017-06-20,763.4752
2017-06-21,776.44604
2017-06-22,786.5415
2017-06-23,786.6852
2017-06-26,794.61505
2017-06-27,793.1478
2017-06-28,819.7295
2017-06-29,813.0634
2017-06-30,802.24475
2017-07-03,801.8346
2017-07-04,801.5981
2017-07-05,789.12994
2017-07-06,791.67084
2017-07-07,791.44635
2017-07-10,791.1094
2017-07-11,800.75903
2017-07-12,807.26697
2017-07-13,802.812
2017-07-14,813.8112
2017-07-18,809.96875
2017-07-19,827.4746
2017-07-20,830.5721
2017-07-21,832.23535
2017-07-24,827.50354
2017-07-25,814.47327
2017-07-26,814.8014
2017-07-27,802.78564
2017-07-28,802.3739
2017-07-31,780.0611
2017-08-01,792.9468
2017-08-02,785.3981
2017-08-03,797.757
2017-08-04,797.7211
2017-08-07,797.6954
2017-08-08,797.3614
2017-08-09,792.3616
2017-08-10,783.5137
2017-08-14,797.6586
2017-08-15,800.4598
2017-08-16,807.2753
2017-08-17,803.27826
2017-08-18,799.6759
2017-08-21,789.66626
2017-08-22,780.3635
2017-08-23,785.37
2017-08-24,784.9323
2017-08-25,775.2802
2017-08-28,770.82947
2017-08-29,778.73267
2017-08-30,771.251
2017-08-31,774.6028
2017-09-01,785.5229
2017-09-04,780.6404
2017-09-05,775.93787
2017-09-06,759.99207
2017-09-07,754.67285
2017-09-08,763.5804
2017-09-11,769.8704
2017-09-12,782.39355
2017-09-13,776.80817
2017-09-14,785.46216
2017-09-15,782.1364
2017-09-19,790.7805
2017-09-20,802.89343
2017-09-21,821.5603
2017-09-22,807.43713
2017-09-25,808.6196
2017-09-26,813.57416
2017-09-27,806.493
2017-09-28,800.4272
2017-09-29,804.718
2017-10-02,802.0073
2017-10-03,807.8501
2017-10-04,808.1034
2017-10-05,801.3595
2017-10-06,806.8242
2017-10-10,811.1256
2017-10-11,822.4007
2017-10-12,837.8115
2017-10-13,848.28754
2017-10-16,848.8244
2017-10-17,853.5072
2017-10-18,844.46985
2017-10-19,846.46796
2017-10-20,852.0597
