
収束にどれだかかかるか確認してみた。
ログが流れて行っている、、、
さくっとshow_predict.pyが動かなかったので、Model Classを分離することにした。
なので、まだ、生データは見ていない。

tensorboardデータとmodelはこのディレクトリに一応保存済み

2019/04/02 18:25:11: step 189300, loss 0.001, acc 0.988, std 0.041
2019/04/02 18:25:22: step 189350, loss 0.001, acc 0.983, std 0.041
2019/04/02 18:25:33: step 189400, loss 0.000, acc 0.987, std 0.043
2019/04/02 18:25:43: step 189450, loss 0.001, acc 0.990, std 0.043
2019/04/02 18:25:53: step 189500, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:26:04: step 189550, loss 0.000, acc 0.986, std 0.042
2019/04/02 18:26:15: step 189600, loss 0.000, acc 0.983, std 0.042
2019/04/02 18:26:25: step 189650, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:26:35: step 189700, loss 0.000, acc 0.986, std 0.040
2019/04/02 18:26:46: step 189750, loss 0.000, acc 0.985, std 0.042
2019/04/02 18:26:56: step 189800, loss 0.002, acc 0.989, std 0.040
2019/04/02 18:27:07: step 189850, loss 0.000, acc 0.988, std 0.042
2019/04/02 18:27:18: step 189900, loss 0.000, acc 0.984, std 0.044
2019/04/02 18:27:29: step 189950, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:27:39: step 190000, loss 0.001, acc 0.984, std 0.041
2019/04/02 18:27:50: step 190050, loss 0.000, acc 0.987, std 0.042
2019/04/02 18:28:01: step 190100, loss 0.000, acc 0.985, std 0.042
2019/04/02 18:28:11: step 190150, loss 0.001, acc 0.978, std 0.043
2019/04/02 18:28:22: step 190200, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:28:32: step 190250, loss 0.001, acc 0.986, std 0.043
2019/04/02 18:28:43: step 190300, loss 0.001, acc 0.985, std 0.043
2019/04/02 18:28:54: step 190350, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:29:04: step 190400, loss 0.001, acc 0.981, std 0.043
2019/04/02 18:29:15: step 190450, loss 0.001, acc 0.982, std 0.041
2019/04/02 18:29:26: step 190500, loss 0.001, acc 0.982, std 0.044
2019/04/02 18:29:36: step 190550, loss 0.000, acc 0.981, std 0.040
2019/04/02 18:29:47: step 190600, loss 0.001, acc 0.990, std 0.041
2019/04/02 18:29:57: step 190650, loss 0.001, acc 0.981, std 0.044
2019/04/02 18:30:08: step 190700, loss 0.001, acc 0.982, std 0.040
2019/04/02 18:30:19: step 190750, loss 0.001, acc 0.980, std 0.042
2019/04/02 18:30:29: step 190800, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:30:40: step 190850, loss 0.001, acc 0.984, std 0.040
2019/04/02 18:30:51: step 190900, loss 0.000, acc 0.983, std 0.042
2019/04/02 18:31:01: step 190950, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:31:12: step 191000, loss 0.001, acc 0.986, std 0.042
2019/04/02 18:31:23: step 191050, loss 0.000, acc 0.988, std 0.042
2019/04/02 18:31:33: step 191100, loss 0.000, acc 0.985, std 0.041
2019/04/02 18:31:44: step 191150, loss 0.001, acc 0.985, std 0.040
2019/04/02 18:31:55: step 191200, loss 0.001, acc 0.986, std 0.042
2019/04/02 18:32:05: step 191250, loss 0.000, acc 0.989, std 0.039
2019/04/02 18:32:16: step 191300, loss 0.000, acc 0.989, std 0.041
2019/04/02 18:32:27: step 191350, loss 0.001, acc 0.984, std 0.040
2019/04/02 18:32:38: step 191400, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:32:47: step 191450, loss 0.001, acc 0.984, std 0.041
2019/04/02 18:32:58: step 191500, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:33:09: step 191550, loss 0.001, acc 0.982, std 0.042
2019/04/02 18:33:20: step 191600, loss 0.001, acc 0.984, std 0.044
2019/04/02 18:33:30: step 191650, loss 0.001, acc 0.982, std 0.041
2019/04/02 18:33:41: step 191700, loss 0.001, acc 0.978, std 0.045
2019/04/02 18:33:52: step 191750, loss 0.000, acc 0.984, std 0.044
2019/04/02 18:34:02: step 191800, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:34:12: step 191850, loss 0.001, acc 0.985, std 0.044
2019/04/02 18:34:23: step 191900, loss 0.001, acc 0.969, std 0.047
2019/04/02 18:34:33: step 191950, loss 0.001, acc 0.982, std 0.045
2019/04/02 18:34:44: step 192000, loss 0.000, acc 0.981, std 0.044
2019/04/02 18:34:55: step 192050, loss 0.001, acc 0.984, std 0.043
2019/04/02 18:35:06: step 192100, loss 0.000, acc 0.985, std 0.041
2019/04/02 18:35:17: step 192150, loss 0.000, acc 0.983, std 0.042
2019/04/02 18:35:27: step 192200, loss 0.000, acc 0.988, std 0.044
2019/04/02 18:35:38: step 192250, loss 0.001, acc 0.987, std 0.042
2019/04/02 18:35:49: step 192300, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:35:59: step 192350, loss 0.001, acc 0.985, std 0.042
2019/04/02 18:36:10: step 192400, loss 0.000, acc 0.986, std 0.043
2019/04/02 18:36:21: step 192450, loss 0.000, acc 0.987, std 0.040
2019/04/02 18:36:31: step 192500, loss 0.001, acc 0.990, std 0.042
2019/04/02 18:36:42: step 192550, loss 0.001, acc 0.983, std 0.040
2019/04/02 18:36:52: step 192600, loss 0.001, acc 0.990, std 0.042
2019/04/02 18:37:03: step 192650, loss 0.000, acc 0.991, std 0.042
2019/04/02 18:37:14: step 192700, loss 0.001, acc 0.990, std 0.041
2019/04/02 18:37:24: step 192750, loss 0.001, acc 0.986, std 0.044
2019/04/02 18:37:35: step 192800, loss 0.001, acc 0.989, std 0.041
2019/04/02 18:37:45: step 192850, loss 0.001, acc 0.986, std 0.043
2019/04/02 18:37:56: step 192900, loss 0.001, acc 0.987, std 0.042
2019/04/02 18:38:07: step 192950, loss 0.000, acc 0.987, std 0.044
2019/04/02 18:38:18: step 193000, loss 0.001, acc 0.984, std 0.043
2019/04/02 18:38:28: step 193050, loss 0.000, acc 0.986, std 0.042
2019/04/02 18:38:39: step 193100, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:38:50: step 193150, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:39:00: step 193200, loss 0.001, acc 0.983, std 0.043
2019/04/02 18:39:11: step 193250, loss 0.001, acc 0.986, std 0.042
2019/04/02 18:39:21: step 193300, loss 0.000, acc 0.984, std 0.042
2019/04/02 18:39:32: step 193350, loss 0.000, acc 0.984, std 0.043
2019/04/02 18:39:43: step 193400, loss 0.000, acc 0.988, std 0.040
2019/04/02 18:39:54: step 193450, loss 0.001, acc 0.980, std 0.043
2019/04/02 18:40:04: step 193500, loss 0.001, acc 0.991, std 0.041
2019/04/02 18:40:15: step 193550, loss 0.001, acc 0.986, std 0.040
2019/04/02 18:40:26: step 193600, loss 0.001, acc 0.980, std 0.043
2019/04/02 18:40:37: step 193650, loss 0.001, acc 0.986, std 0.041
2019/04/02 18:40:47: step 193700, loss 0.000, acc 0.984, std 0.042
2019/04/02 18:40:58: step 193750, loss 0.001, acc 0.995, std 0.040
2019/04/02 18:41:09: step 193800, loss 0.001, acc 0.991, std 0.042
2019/04/02 18:41:19: step 193850, loss 0.001, acc 0.986, std 0.040
2019/04/02 18:41:30: step 193900, loss 0.001, acc 0.985, std 0.044
2019/04/02 18:41:41: step 193950, loss 0.001, acc 0.981, std 0.043
2019/04/02 18:41:51: step 194000, loss 0.000, acc 0.990, std 0.040
2019/04/02 18:42:02: step 194050, loss 0.000, acc 0.987, std 0.042
2019/04/02 18:42:13: step 194100, loss 0.001, acc 0.987, std 0.042
2019/04/02 18:42:23: step 194150, loss 0.001, acc 0.980, std 0.042
2019/04/02 18:42:34: step 194200, loss 0.001, acc 0.982, std 0.041
2019/04/02 18:42:45: step 194250, loss 0.001, acc 0.993, std 0.039
2019/04/02 18:42:55: step 194300, loss 0.001, acc 0.986, std 0.040
2019/04/02 18:43:07: step 194350, loss 0.001, acc 0.981, std 0.041
2019/04/02 18:43:17: step 194400, loss 0.001, acc 0.977, std 0.040
2019/04/02 18:43:28: step 194450, loss 0.000, acc 0.984, std 0.041
2019/04/02 18:43:37: step 194500, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:43:48: step 194550, loss 0.000, acc 0.985, std 0.041
2019/04/02 18:43:59: step 194600, loss 0.000, acc 0.993, std 0.038
2019/04/02 18:44:09: step 194650, loss 0.001, acc 0.982, std 0.042
2019/04/02 18:44:18: step 194700, loss 0.001, acc 0.991, std 0.041
2019/04/02 18:44:29: step 194750, loss 0.001, acc 0.986, std 0.042
2019/04/02 18:44:40: step 194800, loss 0.000, acc 0.985, std 0.041
2019/04/02 18:44:50: step 194850, loss 0.001, acc 0.981, std 0.040
2019/04/02 18:45:01: step 194900, loss 0.001, acc 0.984, std 0.039
2019/04/02 18:45:12: step 194950, loss 0.001, acc 0.989, std 0.039
2019/04/02 18:45:22: step 195000, loss 0.000, acc 0.986, std 0.043
2019/04/02 18:45:33: step 195050, loss 0.000, acc 0.988, std 0.040
2019/04/02 18:45:44: step 195100, loss 0.001, acc 0.980, std 0.041
2019/04/02 18:45:55: step 195150, loss 0.000, acc 0.990, std 0.042
2019/04/02 18:46:05: step 195200, loss 0.001, acc 0.990, std 0.039
2019/04/02 18:46:16: step 195250, loss 0.001, acc 0.983, std 0.040
2019/04/02 18:46:27: step 195300, loss 0.001, acc 0.989, std 0.042
2019/04/02 18:46:37: step 195350, loss 0.000, acc 0.989, std 0.043
2019/04/02 18:46:48: step 195400, loss 0.001, acc 0.984, std 0.044
2019/04/02 18:46:59: step 195450, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:47:10: step 195500, loss 0.001, acc 0.984, std 0.044
2019/04/02 18:47:20: step 195550, loss 0.001, acc 0.983, std 0.042
2019/04/02 18:47:31: step 195600, loss 0.001, acc 0.983, std 0.043
2019/04/02 18:47:42: step 195650, loss 0.001, acc 0.987, std 0.042
2019/04/02 18:47:52: step 195700, loss 0.001, acc 0.983, std 0.042
2019/04/02 18:48:03: step 195750, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:48:14: step 195800, loss 0.001, acc 0.986, std 0.039
2019/04/02 18:48:24: step 195850, loss 0.000, acc 0.987, std 0.041
2019/04/02 18:48:35: step 195900, loss 0.001, acc 0.982, std 0.042
2019/04/02 18:48:46: step 195950, loss 0.001, acc 0.977, std 0.042
2019/04/02 18:48:56: step 196000, loss 0.001, acc 0.991, std 0.040
2019/04/02 18:49:07: step 196050, loss 0.001, acc 0.986, std 0.040
2019/04/02 18:49:18: step 196100, loss 0.001, acc 0.983, std 0.042
2019/04/02 18:49:28: step 196150, loss 0.001, acc 0.984, std 0.042
2019/04/02 18:49:39: step 196200, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:49:49: step 196250, loss 0.001, acc 0.990, std 0.041
2019/04/02 18:50:00: step 196300, loss 0.001, acc 0.990, std 0.040
2019/04/02 18:50:11: step 196350, loss 0.000, acc 0.990, std 0.043
2019/04/02 18:50:21: step 196400, loss 0.001, acc 0.980, std 0.041
2019/04/02 18:50:32: step 196450, loss 0.000, acc 0.989, std 0.041
2019/04/02 18:50:43: step 196500, loss 0.001, acc 0.985, std 0.040
2019/04/02 18:50:53: step 196550, loss 0.001, acc 0.989, std 0.039
2019/04/02 18:51:04: step 196600, loss 0.000, acc 0.987, std 0.043
2019/04/02 18:51:15: step 196650, loss 0.001, acc 0.980, std 0.043
2019/04/02 18:51:26: step 196700, loss 0.001, acc 0.980, std 0.043
2019/04/02 18:51:36: step 196750, loss 0.000, acc 0.986, std 0.041
2019/04/02 18:51:47: step 196800, loss 0.001, acc 0.988, std 0.040
